animal_id,animal_type,sex,age,color,outcome,outcome_month,outcome_year,mix,outcome_datetime_ChristmasEve,outcome_datetime_NewYearsDay,outcome_datetime_USChristmasDay,outcome_datetime_USThanksgivingDay
A717147,Dog,Neutered Male,0.4166666666666667,Brindle,Adoption,12,2015,Mix,0,0,0,0
A687012,Dog,Spayed Female,3,Black,Adoption,2,2016,Mix,0,0,0,0
A676200,Dog,Spayed Female,7,Multiple colors,Transfer,4,2014,NA,0,0,0,0
A676680,Dog,Spayed Female,2,Multiple colors,Euthanasia,2,2015,Mix,0,0,0,0
A688443,Cat,Spayed Female,0.3333333333333333,Black,Adoption,12,2014,Mix,0,0,0,0
A715261,Dog,Spayed Female,9,Multiple colors,Adoption,11,2015,Mix,0,0,0,0
A717008,Dog,Neutered Male,0.5833333333333334,Multiple colors,Transfer,12,2015,Mix,0,0,0,0
A683416,Cat,Neutered Male,0.16666666666666666,Multiple colors,Adoption,7,2014,Mix,0,0,0,0
A690658,Cat,Intact Male,3,Multiple colors,Transfer,10,2014,Mix,0,0,0,0
A695155,Dog,Neutered Male,3,Gray,Adoption,1,2015,Mix,0,0,0,0
A679721,Dog,Neutered Male,5,Multiple colors,Adoption,5,2014,Mix,0,0,0,0
A719113,Dog,Neutered Male,5,Brindle,Transfer,1,2016,Mix,0,0,0,0
A665298,Cat,Intact Female,0.03835613285797299,Blue,Transfer,10,2013,Mix,0,0,0,0
A708351,Cat,Unknown,0.03835613285797299,Black,Transfer,7,2015,Mix,0,0,0,0
A670681,Cat,Spayed Female,4,Tortie/Torbie,Transfer,1,2014,Mix,0,0,0,0
A699990,Dog,Neutered Male,4,Multiple colors,Return_to_owner,4,2015,Mix,0,0,0,0
A707767,Cat,Neutered Male,0.16666666666666666,Tabby,Adoption,7,2015,Mix,0,0,0,0
A668362,Dog,Spayed Female,2,Multiple colors,Return_to_owner,12,2013,Mix,0,0,0,0
A674577,Dog,Neutered Male,2,White,Adoption,3,2014,Mix,0,0,0,0
A674802,Dog,Neutered Male,9,Multiple colors,Return_to_owner,3,2014,Mix,0,0,0,0
A672410,Dog,Neutered Male,5,Tricolor,Return_to_owner,2,2014,Mix,0,0,0,0
A657753,Dog,Neutered Male,1,Brindle,Euthanasia,12,2013,Mix,0,0,0,0
A663339,Dog,Spayed Female,2,Multiple colors,Adoption,10,2013,Mix,0,0,0,0
A678229,Cat,Intact Male,0.05753419928695949,Tabby,Transfer,5,2014,Mix,0,0,0,0
A698694,Dog,Intact Male,0.4166666666666667,Multiple colors,Transfer,7,2015,Mix,0,0,0,0
A695971,Cat,Intact Male,6,Tabby,Euthanasia,1,2015,Mix,0,0,0,0
A674233,Dog,Spayed Female,1,Tan,Adoption,3,2014,Mix,0,0,0,0
A713392,Dog,Intact Male,0.25,Multiple colors,Transfer,11,2015,Mix,0,0,0,0
A713968,Cat,Intact Female,0.08333333333333333,Calico,Transfer,10,2015,Mix,0,0,0,0
A701428,Dog,Spayed Female,3,Brown,Return_to_owner,5,2015,Mix,0,0,0,0
A676146,Dog,Neutered Male,5,Black,Return_to_owner,4,2014,Mix,0,0,0,0
A679259,Dog,Neutered Male,8,Black,Adoption,5,2014,Mix,0,0,0,0
A688223,Dog,Spayed Female,0.16666666666666666,Multiple colors,Adoption,9,2014,Mix,0,0,0,0
A691968,Cat,Intact Female,7,Tortie/Torbie,Euthanasia,11,2014,Mix,0,0,0,0
A688871,Cat,Intact Female,0.16666666666666666,Black,Adoption,10,2014,Mix,0,0,0,0
A674530,Dog,Neutered Male,5,Black,Adoption,9,2014,NA,0,0,0,0
A718604,Dog,Neutered Male,1,Multiple colors,Adoption,1,2016,Mix,0,0,0,0
A686520,Cat,Intact Male,0.25,Tabby,Transfer,8,2014,Mix,0,0,0,0
A699094,Dog,Neutered Male,2,Multiple colors,Return_to_owner,3,2015,Mix,0,0,0,0
A394547,Dog,Spayed Female,9,Multiple colors,Return_to_owner,1,2015,Mix,0,0,0,0
A662685,Dog,Spayed Female,3,Multiple colors,Adoption,10,2015,Mix,0,0,0,0
A713977,Cat,Spayed Female,3,Calico,Return_to_owner,10,2015,Mix,0,0,0,0
A707781,Dog,Spayed Female,1,Multiple colors,Adoption,1,2016,Mix,0,0,0,0
A694699,Dog,Spayed Female,2,Multiple colors,Transfer,1,2015,Mix,0,0,0,0
A696350,Dog,Spayed Female,1,Brindle,Return_to_owner,12,2015,NA,0,0,0,0
A679102,Cat,Neutered Male,2,Point,Transfer,6,2014,Mix,0,0,0,0
A698341,Dog,Spayed Female,2,Brown,Return_to_owner,5,2015,Mix,0,0,0,0
A681481,Cat,Intact Female,2,Multiple colors,Transfer,6,2014,Mix,0,0,0,0
A714177,Cat,Unknown,0.25,Tortie/Torbie,Transfer,10,2015,Mix,0,0,0,0
A689601,Dog,Spayed Female,0.08333333333333333,Tricolor,Adoption,11,2014,Mix,0,0,0,0
A685062,Cat,Neutered Male,0.16666666666666666,Tabby,Adoption,8,2014,Mix,0,0,0,0
A672453,Cat,Neutered Male,0.8333333333333334,Tabby,Adoption,2,2014,Mix,0,0,0,0
A719480,Cat,Spayed Female,2,Tabby,Transfer,2,2016,Mix,0,0,0,0
A702880,Cat,Spayed Female,0.16666666666666666,Calico,Adoption,6,2015,Mix,0,0,0,0
A714494,Dog,Neutered Male,0.5,Yellow,Adoption,11,2015,Mix,0,0,0,0
A711853,Cat,Spayed Female,0.16666666666666666,Tabby,Adoption,11,2015,Mix,0,0,0,0
A688720,Dog,Spayed Female,1,Tan,Adoption,9,2014,Mix,0,0,0,0
A689690,Dog,Intact Female,0.5,Multiple colors,Transfer,10,2014,Mix,0,0,0,0
A679915,Cat,Spayed Female,1,Multiple colors,Adoption,6,2014,Mix,0,0,0,0
A687991,Cat,Intact Male,0.05753419928695949,Calico,Transfer,9,2014,Mix,0,0,0,0
A707896,Cat,Neutered Male,2,Tabby,Adoption,2,2016,Mix,0,0,0,0
A702014,Dog,Spayed Female,0.9166666666666666,Multiple colors,Adoption,11,2015,Mix,0,0,0,0
A673626,Dog,Neutered Male,0.25,Tricolor,Transfer,3,2014,Mix,0,0,0,0
A652097,Dog,Spayed Female,2,Brown,Return_to_owner,2,2014,NA,0,0,0,0
A685180,Dog,Neutered Male,2,Red,Transfer,9,2014,Mix,0,0,0,0
A707442,Dog,Neutered Male,2,Multiple colors,Adoption,8,2015,Mix,0,0,0,0
A682599,Cat,Spayed Female,0.3333333333333333,Calico,Adoption,7,2014,NA,0,0,0,0
A685452,Dog,Intact Female,0.3333333333333333,Red,Transfer,8,2014,Mix,0,0,0,0
A688067,Cat,Intact Female,0.4166666666666667,Tortie/Torbie,Transfer,9,2014,Mix,0,0,0,0
A714069,Cat,Neutered Male,0.16666666666666666,Tabby,Adoption,12,2015,Mix,0,0,0,0
A705924,Dog,Neutered Male,7,Multiple colors,Transfer,7,2015,Mix,0,0,0,0
A717167,Cat,Neutered Male,4,Multiple colors,Adoption,1,2016,Mix,0,0,0,0
A711639,Cat,Intact Female,0.05753419928695949,Calico,Transfer,9,2015,Mix,0,0,0,0
A716760,Dog,Neutered Male,0.5,Multiple colors,Adoption,12,2015,Mix,0,0,0,0
A709048,Dog,Intact Female,0.4166666666666667,Multiple colors,Adoption,8,2015,Mix,0,0,0,0
A719048,Dog,Spayed Female,8,White,Return_to_owner,1,2016,NA,0,0,0,0
A707437,Cat,Neutered Male,0.16666666666666666,Black,Adoption,7,2015,Mix,0,0,0,0
A706387,Cat,Spayed Female,0.08333333333333333,Tabby,Adoption,7,2015,Mix,0,0,0,0
A720668,Dog,Spayed Female,0.4166666666666667,White,Return_to_owner,2,2016,Mix,0,0,0,0
A679341,Cat,Intact Male,0.08333333333333333,Tabby,Transfer,5,2014,Mix,0,0,0,0
A690519,Cat,Intact Male,0.3333333333333333,Tabby,Transfer,10,2014,Mix,0,0,0,0
A708769,Dog,Spayed Female,1,Multiple colors,Adoption,8,2015,Mix,0,0,0,0
A681462,Dog,Neutered Male,2,Multiple colors,Adoption,8,2014,Mix,0,0,0,0
A666444,Cat,Spayed Female,11,Tortie/Torbie,Transfer,11,2013,Mix,0,0,0,0
A701153,Dog,Neutered Male,0.16666666666666666,Tricolor,Adoption,6,2015,Mix,0,0,0,0
A710071,Cat,Neutered Male,0.16666666666666666,Multiple colors,Transfer,9,2015,Mix,0,0,0,0
A714602,Cat,Intact Female,0.16666666666666666,Tabby,Adoption,10,2015,Mix,0,0,0,0
A700707,Dog,Spayed Female,0.08333333333333333,Brindle,Adoption,4,2015,Mix,0,0,0,0
A702563,Dog,Spayed Female,7,Multiple colors,Return_to_owner,5,2015,Mix,0,0,0,0
A679441,Cat,Intact Male,0.010958904109589041,Tabby,Transfer,5,2014,Mix,0,0,0,0
A715729,Dog,Neutered Male,4,Multiple colors,Return_to_owner,11,2015,NA,0,0,0,0
A716575,Dog,Spayed Female,2,Multiple colors,Transfer,12,2015,Mix,0,0,0,0
A714462,Dog,Spayed Female,1,Multiple colors,Return_to_owner,11,2015,Mix,0,0,0,0
A717429,Dog,Neutered Male,2,Brindle,Return_to_owner,12,2015,Mix,0,0,0,0
A687336,Cat,Intact Female,0.07671226571594598,Tabby,Transfer,9,2014,Mix,0,0,0,0
A713364,Cat,Intact Female,1,Multiple colors,Transfer,11,2015,Mix,0,0,0,0
A701999,Dog,Spayed Female,2,Multiple colors,Adoption,5,2015,Mix,0,0,0,0
A664304,Cat,Intact Male,0.8333333333333334,Tabby,Transfer,10,2013,Mix,0,0,0,0
A698066,Dog,Spayed Female,4,White,Transfer,3,2015,Mix,0,0,0,0
A680585,Cat,Spayed Female,0.3333333333333333,Tabby,Adoption,7,2014,Mix,0,0,0,0
A699715,Dog,Spayed Female,6,Multiple colors,Transfer,5,2015,Mix,0,0,0,0
A702246,Dog,Spayed Female,0.75,Multiple colors,Adoption,5,2015,Mix,0,0,0,0
A711918,Dog,Spayed Female,3,Red,Adoption,9,2015,Mix,0,0,0,0
A676430,Cat,Spayed Female,0.6666666666666666,Tortie/Torbie,Adoption,11,2014,Mix,0,0,0,0
A677577,Dog,Spayed Female,0.8333333333333334,Multiple colors,Adoption,5,2014,Mix,0,0,0,0
A683666,Cat,Neutered Male,1,Tabby,Transfer,9,2015,Mix,0,0,0,0
A713754,Dog,Neutered Male,1,Merle,Adoption,10,2015,Mix,0,0,0,0
A703631,Dog,Neutered Male,1,Multiple colors,Adoption,7,2015,Mix,0,0,0,0
A676209,Dog,Neutered Male,0.25,Yellow,Adoption,7,2014,Mix,0,0,0,0
A667508,Dog,Intact Male,6,Multiple colors,Return_to_owner,11,2013,Mix,0,0,0,0
A671105,Cat,Unknown,1,Black,Transfer,1,2014,Mix,0,0,0,0
A676056,Dog,Neutered Male,2,Multiple colors,Return_to_owner,4,2014,Mix,0,0,0,0
A667963,Dog,Spayed Female,5,Multiple colors,Adoption,11,2013,Mix,0,0,0,0
A702207,Cat,Neutered Male,12,Tabby,Euthanasia,5,2015,Mix,0,0,0,0
A672065,Dog,Spayed Female,2,Sable,Adoption,4,2014,Mix,0,0,0,0
A688852,Dog,Neutered Male,6,Multiple colors,Adoption,10,2014,Mix,0,0,0,0
A705885,Cat,Neutered Male,0.25,Black,Adoption,6,2015,Mix,0,0,0,0
A670949,Dog,Spayed Female,0.6666666666666666,Tricolor,Return_to_owner,2,2014,Mix,0,0,0,0
A665666,Cat,Neutered Male,1,Black,Transfer,12,2013,Mix,0,0,0,0
A714575,Cat,Intact Female,15,Black,Transfer,10,2015,Mix,0,0,0,0
A690480,Dog,Intact Female,0.05753419928695949,Multiple colors,Transfer,10,2014,Mix,0,0,0,0
A691636,Dog,Neutered Male,0.4166666666666667,Multiple colors,Adoption,11,2014,Mix,0,0,0,0
A678482,Dog,Neutered Male,2,Multiple colors,Adoption,5,2014,Mix,0,0,0,0
A687785,Dog,Spayed Female,2,Brindle,Adoption,12,2014,Mix,0,0,0,0
A716839,Dog,Intact Male,2,Merle,Return_to_owner,11,2015,Mix,0,0,0,0
A718547,Dog,Spayed Female,2,Multiple colors,Adoption,1,2016,Mix,0,0,0,0
A687989,Cat,Intact Female,0.05753419928695949,Calico,Transfer,9,2014,Mix,0,0,0,0
A694408,Dog,Spayed Female,1,Multiple colors,Transfer,5,2015,Mix,0,0,0,0
A698940,Cat,Intact Male,2,Tabby,Transfer,3,2015,Mix,0,0,0,0
A666074,Cat,Intact Male,0.07671226571594598,Tabby,Transfer,10,2013,Mix,0,0,0,0
A675549,Dog,Neutered Male,4,Multiple colors,Transfer,4,2014,Mix,0,0,0,0
A682131,Cat,Intact Male,0.05753419928695949,Tabby,Transfer,6,2014,Mix,0,0,0,0
A674737,Cat,Intact Male,0.16666666666666666,Black,Adoption,5,2014,Mix,0,0,0,0
A719876,Dog,Spayed Female,1,Multiple colors,Transfer,2,2016,Mix,0,0,0,0
A676626,Dog,Spayed Female,0.16666666666666666,Multiple colors,Adoption,5,2014,Mix,0,0,0,0
A666478,Dog,Spayed Female,1,Multiple colors,Adoption,11,2013,Mix,0,0,0,0
A683507,Dog,Spayed Female,3,Buff,Adoption,7,2014,Mix,0,0,0,0
A487470,Dog,Neutered Male,9,Black,Euthanasia,1,2014,Mix,0,0,0,0
A665661,Cat,Spayed Female,2,Multiple colors,Return_to_owner,9,2015,Mix,0,0,0,0
A668260,Dog,Spayed Female,5,Multiple colors,Transfer,12,2013,NA,0,0,0,0
A716964,Dog,Intact Male,2,Multiple colors,Return_to_owner,11,2015,Mix,0,0,0,0
A701029,Dog,Neutered Male,2,Brown,Return_to_owner,5,2015,NA,0,0,0,0
A668506,Dog,Neutered Male,7,Multiple colors,Return_to_owner,11,2015,NA,0,0,0,0
A684709,Cat,Intact Female,1,Tabby,Transfer,7,2014,Mix,0,0,0,0
A616229,Cat,Spayed Female,6,Multiple colors,Adoption,11,2015,Mix,0,0,0,0
A680336,Cat,Neutered Male,0.16666666666666666,Tabby,Adoption,7,2014,Mix,0,0,0,0
A701898,Dog,Spayed Female,1,Multiple colors,Return_to_owner,5,2015,Mix,0,0,0,0
A666971,Cat,Neutered Male,0.16666666666666666,Tabby,Adoption,11,2013,Mix,0,0,0,0
A691605,Dog,Spayed Female,6,Brindle,Return_to_owner,11,2014,Mix,0,0,0,0
A703244,Cat,Intact Male,0.16666666666666666,Tabby,Transfer,5,2015,Mix,0,0,0,0
A705111,Dog,Spayed Female,2,Multiple colors,Adoption,6,2015,Mix,0,0,0,0
A685460,Cat,Neutered Male,7,Point,Adoption,8,2014,Mix,0,0,0,0
A716890,Cat,Spayed Female,0.25,Tabby,Adoption,12,2015,Mix,0,0,0,0
A715741,Dog,Neutered Male,3,Red,Adoption,11,2015,Mix,0,0,0,0
A676334,Cat,Intact Female,2,Black,Transfer,4,2014,Mix,0,0,0,0
A668122,Dog,Spayed Female,7,Multiple colors,Adoption,12,2013,NA,0,0,0,0
A702356,Cat,Intact Male,0.08333333333333333,Tabby,Euthanasia,5,2015,Mix,0,0,0,0
A664842,Dog,Spayed Female,2,Multiple colors,Return_to_owner,11,2013,Mix,0,0,0,0
A709067,Dog,Intact Female,0.4166666666666667,Multiple colors,Return_to_owner,8,2015,Mix,0,0,0,0
A608918,Dog,Neutered Male,4,Multiple colors,Transfer,6,2015,Mix,0,0,0,0
A651596,Dog,Neutered Male,2,Buff,Return_to_owner,3,2014,Mix,0,0,0,0
A720190,Dog,Spayed Female,7,Tricolor,Transfer,2,2016,Mix,0,0,0,0
A676609,Dog,Neutered Male,1,Brown,Adoption,7,2014,Mix,0,0,0,0
A666504,Cat,Neutered Male,0.08333333333333333,Tabby,Transfer,12,2013,Mix,0,0,0,0
A693272,Dog,Neutered Male,0.08333333333333333,Multiple colors,Adoption,1,2015,Mix,0,0,0,0
A711607,Cat,Neutered Male,0.16666666666666666,Multiple colors,Adoption,9,2015,Mix,0,0,0,0
A713337,Cat,Intact Female,3,Blue,Transfer,10,2015,Mix,0,0,0,0
A672758,Dog,Spayed Female,4,Multiple colors,Transfer,7,2014,Mix,0,0,0,0
A658690,Dog,Spayed Female,1,Multiple colors,Adoption,10,2013,Mix,0,0,0,0
A708390,Dog,Spayed Female,2,Multiple colors,Adoption,8,2015,Mix,0,0,0,0
A703383,Dog,Spayed Female,10,Buff,Transfer,5,2015,NA,0,0,0,0
A689749,Cat,Neutered Male,0.16666666666666666,Tabby,Adoption,10,2014,Mix,0,0,0,0
A699816,Dog,Spayed Female,10,Tan,Adoption,4,2015,Mix,0,0,0,0
A701791,Cat,Spayed Female,2,Tabby,Adoption,7,2015,Mix,0,0,0,0
A625690,Dog,Spayed Female,7,Multiple colors,Return_to_owner,7,2014,Mix,0,0,0,0
A686406,Dog,Neutered Male,1,Multiple colors,Adoption,8,2014,Mix,0,0,0,0
A710318,Dog,Neutered Male,5,Brindle,Transfer,9,2015,Mix,0,0,0,0
A698972,Dog,Spayed Female,6,Multiple colors,Return_to_owner,3,2015,Mix,0,0,0,0
A710380,Cat,Unknown,0.019178066428986496,Tabby,Transfer,8,2015,Mix,0,0,0,0
A683309,Dog,Spayed Female,7,Multiple colors,Euthanasia,7,2014,Mix,0,0,0,0
A640316,Dog,Neutered Male,1,Black,Adoption,10,2013,Mix,0,0,0,0
A682760,Dog,Neutered Male,1,Multiple colors,Adoption,7,2014,Mix,0,0,0,0
A701707,Cat,Intact Female,0.03835613285797299,Tabby,Transfer,5,2015,Mix,0,0,0,0
A669534,Cat,Intact Female,1,Tabby,Transfer,12,2013,Mix,1,0,0,0
A588218,Dog,Neutered Male,5,Multiple colors,Return_to_owner,12,2014,NA,0,0,0,0
A669795,Dog,Spayed Female,2,Multiple colors,Return_to_owner,8,2014,Mix,0,0,0,0
A674448,Dog,Neutered Male,0.8333333333333334,Multiple colors,Adoption,3,2014,Mix,0,0,0,0
A701647,Cat,Intact Female,0.25,Black,Transfer,5,2015,Mix,0,0,0,0
A672467,Dog,Neutered Male,0.75,Multiple colors,Adoption,2,2014,Mix,0,0,0,0
A712244,Cat,Intact Female,0.08333333333333333,Multiple colors,Transfer,9,2015,Mix,0,0,0,0
A677462,Cat,Unknown,0,Blue,Transfer,4,2014,Mix,0,0,0,0
A715761,Cat,Spayed Female,5,Calico,Transfer,11,2015,Mix,0,0,0,0
A720860,Dog,Spayed Female,0.6666666666666666,Multiple colors,Adoption,2,2016,Mix,0,0,0,0
A701337,Dog,Intact Male,1,Cream,Transfer,4,2015,Mix,0,0,0,0
A710881,Cat,Spayed Female,0.16666666666666666,Tabby,Adoption,10,2015,Mix,0,0,0,0
A663948,Cat,Neutered Male,0.25,Multiple colors,Return_to_owner,10,2013,NA,0,0,0,0
A699819,Dog,Intact Male,14,Multiple colors,Return_to_owner,4,2015,Mix,0,0,0,0
A674638,Dog,Neutered Male,7,Chocolate,Return_to_owner,3,2014,Mix,0,0,0,0
A718743,Dog,Neutered Male,2,Multiple colors,Adoption,1,2016,NA,0,0,0,0
A714820,Dog,Spayed Female,0.5,Brindle,Transfer,11,2015,Mix,0,0,0,0
A667613,Dog,Neutered Male,0.9166666666666666,Multiple colors,Adoption,1,2014,Mix,0,0,0,0
